0,22.537
1,288.68
2,895.69
3,2647
4,5824.2
5,9966.3
6,21675
7,37618
8,38489
9,48522
10,77145
11,84353
12,90940
13,1.1606e+05
14,1.3997e+05
15,1.7859e+05
16,2.4465e+05
17,3.0321e+05
18,3.3115e+05
19,3.6222e+05
20,4.3261e+05
21,5.2014e+05
22,5.7391e+05
23,5.8619e+05
24,6.0162e+05
25,6.5294e+05
26,7.1072e+05
27,7.1146e+05
28,6.3006e+05
29,5.1326e+05
30,4.3939e+05
31,4.4929e+05
32,5.1663e+05
33,5.7938e+05
34,5.9458e+05
35,5.6547e+05
36,5.2493e+05
37,5.0063e+05
38,4.9618e+05
39,4.9892e+05
40,4.9822e+05
41,4.9366e+05
42,4.8833e+05
43,4.7944e+05
44,4.5874e+05
45,4.2258e+05
46,3.7975e+05
47,3.4727e+05
48,3.3666e+05
49,3.4312e+05
50,3.4826e+05
51,3.348e+05
52,3.0103e+05
53,2.6257e+05
54,2.3983e+05
55,2.4152e+05
56,2.575e+05
57,2.6663e+05
58,2.5314e+05
59,2.1859e+05
60,1.8044e+05
61,1.5872e+05
62,1.6139e+05
63,1.792e+05
64,1.9321e+05
65,1.8875e+05
66,1.6536e+05
67,1.359e+05
68,1.1643e+05
69,1.1477e+05
70,1.2585e+05
71,1.3648e+05
72,1.3521e+05
73,1.1999e+05
74,98483
75,81728
76,76241
77,80187
78,85753
79,85340
80,76794
81,64208
82,54252
83,51175
84,54095
85,58209
86,58597
87,53651
88,45765
89,39149
90,36610
91,37736
92,39556
93,38968
94,34988
95,29240
96,24537
97,22758
98,23616
99,25105
100,25120
101,22959
102,19659
103,17014
104,16175
105,16864
106,17736
107,17472
108,15746
109,13318
110,11366
111,10562
112,10690
113,10952
114,10632
115,9544.5
116,8040.1
117,6618.1
118,5678.4
119,5358.5
120,5515.1
121,5644.8
122,5090.5
123,3678
124,2336.5
125,2015.2
126,2407.1
127,2663.5
128,2664.1
129,1894
130,1254.5
131,1018.8
132,1319.1
133,2176.8
134,1550.4
